PurposeCode,dem_purpose
110,0
111,0
11110,1
11120,0
11130,0
11182,0
112,0
11220,0
11230,0
11231,0
11232,0
11240,0
113,0
11320,0
11321,0
11322,0
11330,0
114,0
11420,0
11430,0
120,0
121,0
12110,1
12181,0
12182,0
12191,0
122,0
12220,0
12230,0
12240,0
12250,0
12261,1
12262,0
12263,0
12281,0
130,1
13010,1
13020,1
13030,1
13040,0
13081,0
140,0
14010,1
14015,1
14020,0
14021,0
14022,0
14030,0
14031,0
14032,0
14040,0
14050,0
14081,0
150,1
151,1
15110,1
15121,1
15122,1
15123,1
15124,1
15125,1
15126,1
15127,1
15142,1
15143,0
15144,1
15154,1
15111,1
15117,1
15118,1
15119,1
15112,1
15128,1
15129,1
15185,1
15113,1
15114,1
15116,1
15155,1
15156,1
15130,1
15131,1
15132,1
15133,1
15134,1
15135,1
15136,1
15137,1
15150,1
15151,1
15152,1
15153,1
15160,1
15170,1
15180,1
15190,1
152,1
15210,1
15220,1
15230,1
15240,1
15250,0
15261,1
160,1
16010,1
16011,1
16012,1
16013,1
16014,1
16015,1
16020,1
16030,1
16040,1
16050,1
16061,1
16065,1
16066,1
16062,1
16063,1
16064,1
210,0
21010,1
21011,1
21012,0
21013,1
21020,0
21021,0
21022,0
21023,0
21024,0
21030,0
21040,
21050,0
21061,0
21081,0
220,0
22010,1
22011,1
22012,1
22013,1
22020,1
22030,1
22040,1
230,0
231,1
23110,1
23111,1
23112,1
23181,0
23182,0
23183,0
232,0
23210,0
23220,0
23230,0
23240,0
23250,0
23260,0
23270,0
233,0
23310,0
23320,0
23330,0
23340,0
23350,0
23360,0
234,0
23410,0
235,0
23510,0
236,0
23610,0
23620,0
23630,0
23640,0
240,0
24010,1
24020,1
24030,1
24040,1
24050,0
24081,0
250,0
25010,0
25020,0
310,0
311,0
31110,1
31120,0
31130,0
31140,0
31150,0
31161,0
31162,0
31163,0
31164,0
31165,0
31166,0
31181,0
31182,0
31191,0
31192,0
31193,0
31194,0
31195,0
312,0
31210,1
31220,0
31261,0
31281,0
31282,0
31291,0
313,0
31310,1
31320,0
31381,0
31382,0
31391,0
320,0
321,0
32110,1
32120,0
32130,0
32140,0
32161,0
32162,0
32163,0
32164,0
32165,0
32166,0
32167,0
32168,0
32169,0
32170,0
32171,0
32172,0
32182,0
322,0
32210,1
32220,0
32261,0
32262,0
32263,0
32264,0
32265,0
32266,0
32267,0
32268,0
323,0
32310,1
330,1
331,1
33110,1
33120,1
33130,1
33140,1
33150,1
33181,0
332,0
33210,1
410,0
41010,1
41020,0
41030,0
41040,0
41050,0
41081,0
41082,0
430,0
43010,0
43030,1
43031,1
43032,0
43040,0
43041,1
43042,0
43050,0
43081,0
43082,1
510,0
51010,0
520,0
52010,0
530,0
53030,0
53040,0
600,0
60010,0
60020,0
60030,0
60040,
60061,0
60062,0
60063,0
720,0
72010,0
72040,0
72050,0
730,0
73010,0
740,0
74010,0
910,0
91010,0
930,0
93010,0
998,0
99810,0
99820,0
